downloadId,eulaCode,url,downloadEntity,entityType
367939199,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221110_20221125_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxOTksImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM1LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJEZCd3ZrTFB3bUxOTU5PQXV2S0h2NnNxSXJxWTViT21iWmdUSGY4VkxXM0EifQ==,LC08_CU_030008_20221110_20221125_02,MTL
367939200,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221110_20221125_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkyMDAsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM1LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFptUWpkaDBjVk85QU5QV3NUQ3B4bGI2QS4yakJPQjZjSzVcL3hZRFhSaVBBIn0=,LC08_CU_030008_20221110_20221125_02,SR
367939201,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221110_20221125_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkyMDEsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM1LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJDNRdXZrXC9sMFwvLlNMODJKVzBDZWRTeDAuamkxS3c5YTg1Tmk4cU43R01WOCJ9,LC08_CU_030008_20221110_20221125_02,ST
367939202,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221110_20221125_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkyMDIsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM1LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHdYRzhSTllDOERQUHZ1Y1wvWnV2ZkJQVXh1MVpIVXFtS2tWTWlxY1B2eU0yIn0=,LC08_CU_030008_20221110_20221125_02,TOA
367939203,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221110_20221125_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkyMDMsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM1LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJG8zRXNrRnRuNXZiNVVLTTdEVFBpTjNFakhMckNzQkFHNDVlamNJZDlVNDMifQ==,LC08_CU_030008_20221110_20221125_02,BT
367939204,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221126_20221209_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkyMDQsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM1LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJDNSckphWk5ZNHE0cElUXC93Z1FSQlhBXC9NRVZJT3hNaVVvaW5zZ3QyNkNnXC8ifQ==,LC08_CU_030008_20221126_20221209_02,QA
367939205,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221126_20221209_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkyMDUsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM1LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJDQ0eTNwNFZpSERENGU2NGZialY5TXRmREFkdm5ibWM2ODBqWC5zekxEaS4ifQ==,LC08_CU_030008_20221126_20221209_02,MTL
367939206,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221126_20221209_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkyMDYsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM1LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHZvS0pYTVhzcWliMlg5LklCLkFEXC9QaTM5czZRZE9QLmVWYXBkLjBkNUMzIn0=,LC08_CU_030008_20221126_20221209_02,SR
367939207,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221126_20221209_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkyMDcsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM1LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHNtb3ZLRjZpZHlZODRnUGEuS1hsNS4yOHpicmU3WmZod3d2MXk0V2lDTTYifQ==,LC08_CU_030008_20221126_20221209_02,ST
367939208,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221126_20221209_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkyMDgsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM1LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHVZeHFmSEJVRWlMOEo2dFJ3cmtQWFdDOVlEMjQzdnd6dVQxNExhejE5UjEifQ==,LC08_CU_030008_20221126_20221209_02,TOA
